,pred,actual
2021-06-27,720.895,747.857
2021-07-04,741.589,924.0
2021-07-11,774.774,1674.551
2021-07-18,811.229,3406.918
2021-07-25,850.073,4941.878
2021-08-01,890.583,5670.02
2021-08-08,932.237,6204.204
2021-08-15,974.679,6230.408
2021-08-22,1017.66,6497.388
2021-08-29,1061.012,6206.918
2021-09-05,1104.618,5379.98
2021-09-12,1148.399,4578.081
2021-09-19,1192.299,3830.428
2021-09-26,1236.281,3208.592
2021-10-03,1280.32,2865.388
2021-10-10,1324.398,2526.939
2021-10-17,1368.502,2869.694
2021-10-24,1412.624,3951.224
